location,macro_suburb,property_percentile,taxi_routes,civic_responsiveness_percentile,healthcare_facilities_5km,median_gv,region,safety_score,school_count,risk_profile
Claremont,Claremont & Kenilworth,84.8,47,59,18,2250000,Southern suburbs,77,14,Lower reported crime
Claremont Village,unknown,69.7,0,46,0,1878183.962,Southern suburbs,50,0,Moderate reported crime
Clifton,Atlantic Seaboard,100,8,59,3,12500000,Atlantic,46,0,Moderate reported crime
Clovelly,Fish Hoek,85,0,59,4,2750000,S penisula,97,0,Lower reported crime
Colorado Park,Mitchells Plain,30.3,18,59,16,7.00E+05,cape flats,46,1,Moderate reported crime
Constantia,Constantia,96.7,7,20,5,6500000,Southern suburbs,77,4,Lower reported crime
Cravenby,unknown,32.3,38,20,20,9.00E+05,Northern Suburb,50,1,Moderate reported crime
Crawford,Athlone,58.7,2,59,26,1750000,cape flats,34,1,Moderate reported crime
Croydon Vineyard Estate,Country/Eco Estates,90.1,4,21,5,3750000,helderberg,88,0,Lower reported crime
D'Urbanvale,Durbanville,66.7,1,23,2,2250000,Northern Suburb,61,1,Moderate reported crime
De Bron,Bellville,70,2,21,4,1610240.964,Northern Suburb,61,0,Moderate reported crime
De Kuilen,unknown,44.2,39,21,7,1250000,Northern Suburb,29,1,Higher reported crime
De Oude Spruit,Brackenfell,65,1,21,8,1750000,Northern Suburb,87,0,Lower reported crime
De Tijger,Parow,74.2,8,21,14,2750000,Northern Suburb,42,2,Moderate reported crime
De Velde,unknown,69.7,11,60,6,1878183.962,helderberg,75,0,Lower reported crime
De Werf,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
De Wijnlanden Residential Estate,Kuils River,59.2,0,42,0,1396212.121,Northern Suburb,50,0,Moderate reported crime
De Zicht Estate,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Dennegeur,Mountainside & Dennegeur,91.7,13,23,8,3750000,helderberg,75,0,Lower reported crime
Dennendal,unknown,69.7,0,46,0,1878183.962,Southern suburbs,50,0,Moderate reported crime
Dido Valley,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Die Bos,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Die Wingerd,unknown,75.9,9,60,3,2250000,helderberg,75,0,Lower reported crime
Diep River,Plumstead,67.8,5,23,11,1250000,Southern suburbs,77,4,Lower reported crime
Door De Kraal,Bellville,81,2,61,8,2750000,Northern Suburb,43,0,Moderate reported crime
Dornhill,Somerset Central,67.7,0,48,0,1979661.017,helderberg,50,0,Moderate reported crime
Durbanville,Durbanville,78.9,28,61,3,1750000,Northern Suburb,61,7,Moderate reported crime
Durbanville Hills,Durbanville,85.7,11,61,2,3750000,Northern Suburb,61,0,Moderate reported crime
Durbanville Rural,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Duynefontein,Melkbosstrand,81.9,0,75,0,2750000,Blaauwbergstrand,50,0,Moderate reported crime
Edenpark,Brackenfell,55.6,2,24,7,1250000,Northern Suburb,87,0,Lower reported crime
Edgemead,Parow,66.7,10,62,6,2250000,Northern Suburb,88,3,Lower reported crime
Eensgevonden,unknown,71,0,62,4,1750000,Northern Suburb,29,0,Higher reported crime
Erica Township,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Erinvale Estate,Erinvale & Other Estates,97.7,3,63,3,6500000,helderberg,75,0,Lower reported crime
Eversdal,Durbanville,84.1,2,25,5,3250000,Northern Suburb,61,2,Moderate reported crime
Faerie Knowe,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Fairfield Estate,unknown,49,4,63,17,1250000,Northern Suburb,42,2,Moderate reported crime
Fairhaven Country Estate,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Fairview Golf Estate,unknown,46.6,0,63,6,5.00E+05,helderberg,98,0,Lower reported crime
Ferndale,Brackenfell,54,21,63,9,7.00E+05,Northern Suburb,87,0,Lower reported crime
Ferness Estate,Ottery/Cape Flats,41.3,0,38,0,937500,Southern suburbs,50,0,Moderate reported crime
Fernwood,Somerset Central,63.6,13,64,8,1750000,helderberg,75,1,Lower reported crime
Firgrove,unknown,22.3,41,25,1,7.00E+05,helderberg,88,1,Lower reported crime
Firlands,unknown,87.5,0,4,4,2750000,helderberg,98,1,Lower reported crime
Fish Hoek,Fish Hoek,67.3,20,64,3,1750000,S penisula,97,6,Lower reported crime
Flamingo Vlei,unknown,75.6,1,25,5,2250000,Blaauwbergstrand,26,1,Higher reported crime
Forest Glade,Kuils River,59.2,0,42,0,1396212.121,Northern Suburb,50,0,Moderate reported crime
Fountain Village,unknown,10.3,24,25,12,3.00E+05,Northern Suburb,9,0,Higher reported crime
Fresnaye,Cape Town City Centre,99.1,2,64,6,12500000,Atlantic,91,0,Lower reported crime
Froggy Farm,Simons Town,89,0,88,0,2609375,S penisula,50,0,Moderate reported crime
Gardens,Cape Town City Centre,96.4,10,65,8,2250000,Cape Town City Centre,31,7,Higher reported crime
Gatesville,Athlone,58.7,34,26,23,1750000,cape flats,31,1,Higher reported crime
Gleemoor,Athlone,55.6,0,59,0,1543181.818,cape flats,50,0,Moderate reported crime
Glen Marine,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Glencairn,Simons Town,71.5,1,26,4,2250000,S penisula,99,0,Lower reported crime
Glenhaven,unknown,44.2,0,26,12,1250000,Northern Suburb,28,1,Higher reported crime
Glenlily,unknown,48.4,21,65,17,1250000,Northern Suburb,42,1,Moderate reported crime
Goedehoop,Somerset Central,71.9,9,65,7,2250000,helderberg,78,0,Lower reported crime
Goedemoed,Durbanville,70.3,0,65,5,2250000,Northern Suburb,61,0,Moderate reported crime
Golden Acre,Somerset Central,86.8,5,65,5,3250000,helderberg,75,0,Lower reported crime
Golf Course,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Goodwood Estate,Parow,50.7,1,66,15,1750000,Northern Suburb,24,2,Higher reported crime
Goodwood Ext 1,Parow,63.6,18,66,12,1750000,Northern Suburb,24,1,Higher reported crime
Goodwood Park,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Gordons Bay,Gordon's Bay,46.2,9,66,4,7.00E+05,helderberg,98,2,Lower reported crime
Gordons Bay Village,Gordon's Bay,81.7,3,27,2,2250000,helderberg,98,0,Lower reported crime
Graanendal,unknown,82.1,5,66,4,2250000,Northern Suburb,61,0,Moderate reported crime
Grassy Park,Ottery/Cape Flats,41.3,28,66,9,9.00E+05,Southern suburbs,33,7,Higher reported crime
Green Point,Atlantic Seaboard,97.3,32,66,6,3250000,Atlantic,91,1,Lower reported crime
Greenways,Strand,91.2,16,67,6,1750000,helderberg,78,0,Lower reported crime
Groenvallei,unknown,35.2,18,27,9,7.00E+05,Northern Suburb,43,0,Moderate reported crime
Guldenland,Somerset Central,67.7,0,48,0,1979661.017,helderberg,50,0,Moderate reported crime
Haasendal,Kuils River,66.3,0,27,3,2250000,Northern Suburb,87,0,Lower reported crime
Hagley,Kuils River,35.6,6,28,9,9.00E+05,Northern Suburb,9,0,Higher reported crime
Harbour Island,Gordon's Bay,46.2,0,66,0,1300000,helderberg,50,0,Moderate reported crime
Harfield Village,Claremont & Kenilworth,84.8,0,59,0,2095238.095,Southern suburbs,50,0,Moderate reported crime
Heartland Beach Road Precinct,unknown,69.7,8,67,5,1878183.962,helderberg,75,0,Lower reported crime
Heather Park,Kuils River,59.2,0,42,0,1396212.121,Northern Suburb,50,0,Moderate reported crime
Heathfield,unknown,51.4,4,28,12,1250000,Southern suburbs,83,3,Lower reported crime
